PLANTID,TÊN KHOA HỌC,TÊN GỌI,QUY CÁCH SẢN PHẨM,ĐỘ KHÓ,YÊU CẦU ÁNH SÁNG,NHU CẦU NƯỚC,KÍCH THƯỚC CÂY,LOẠI HẠT,CHẤT LIỆU CHẬU,MÀU SẮC,ĐỘ PH CỦA ĐẤT,LỌC KHÔNG KHÍ,TƯỚI NƯỚC
CCNPLT0205,Sansevieria ‘hahnii’ Black Gold,Cây lưỡi hổ Thái xanh,Chiều cao: 10 – 15 cm,Dễ chăm sóc,Ánh sáng tán xạ / Chịu được thiếu sáng,Thay nước 2 – 3 lần/tháng,,,,,,,
CCNPLT0206,Sansevieria ‘superba’ Black Gold,Cây lưỡi hổ Thái xanh,Chiều cao: 25 – 30 cm,Dễ chăm sóc,Ánh sáng tán xạ / Chịu được thiếu sáng,Tưới nước 1 lần/tuần,,,,,,,
CCNPLT0207,Rosmarinus officinalis,Cây hương thảo,Chiều cao 40 – 45 cm,Trung bình,Nắng trực tiếp,Tưới nước hằng ngày,,,,,,,
CCNPLT0208,Podocarpus macrophyllus,Cây tùng bồng lai,Chiều cao 20 – 25 cm,Trung bình,Nắng trực tiếp / nắng tán xạ,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0209,Nageia fleuryi,Cây kim giao,Chiều cao 40 – 50 cm,Dễ chăm sóc,Nắng tán xạ / Chịu được nắng trực tiếp,Tưới nước 2 – 3 lần/ngày,,,,,,,
CCNPLT0210,Alocasia zebrina Sarian,Cây ráy ngựa vằn,Chiều cao 60 – 70 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 4 – 5 lần/ngày,,,,,,,
CCNPLT0211,Scheffera Octophylla,Ngũ gia bì,Chiều cao 30 ~ 40 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0212,Monstera Borsigiana,Trầu bà Nam Mỹ,"Kích thước chậu: 30x40cm (DxC)
Chiều cao tổng: 60 – 70 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0213,Radermachera Sinica,Cây hạnh phúc,"Kích thước chậu: 35x42cm (DxC)
Chiều cao tổng: 160 – 170 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0214,Anthurium andreanum Pink,Cây hồng môn,Chiều cao 30 – 40 cm,Dễ chăm sóc,Nắng tán xạ / Chịu râm mát,Tưới nước 2 – 3 lần/lần,,,,,,,
CCNPLT0215,Yucca silver,Cây dứa diệp tiễn / Thùa bạc,"• Kích thước tán: 35 – 40cm
• Chiều cao: 35 – 40cm",Dễ chăm sóc,Nắng tán xạ / Nơi râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0216,Dieffenbachia seguine Mars,Cây sao sáng,"• Kích thước tán: 35 – 40cm
• Chiều cao: 35 – 40cm",Dễ chăm sóc,Nắng tán xạ / Nơi râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0217,Aglaonema ‘Pink Lady’,Cây hồng phát lộc,"• Kích thước tán: 35 – 40cm
• Chiều cao: 35 – 40cm",Dễ chăm sóc,Nắng tán xạ / Nơi râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0218,Aglaonema ‘Pink Lady’,Cây hồng phát lộc,"• Kích thước tán: 35 – 40cm
• Chiều cao: 35 – 40cm",Dễ chăm sóc,Nắng tán xạ / Nơi râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0219,Ficus Triangularis Variegata,Đa tam phúc,"• Kích thước tán: 35 – 40cm
• Chiều cao: 35 – 40cm",Dê chăm sóc,Nắng tán xạ / Nơi râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0220,Aglaonema ‘Red Stardust’,Cây như ý,"• Kích thước tán: 35 – 40cm
• Chiều cao: 35 – 40cm",Dê chăm sóc,Nắng tán xạ / Nơi râm mát,Thay nước 2 – 3 lần/tháng,,,,,,,
CCNPLT0221,Aglaonema ‘Pink Legacy’,Cây cung điện vàng,"• Kích thước tán: 35 – 40cm
• Chiều cao: 35 – 40cm",Dê chăm sóc,Nắng tán xạ / Nơi râm mát,Thay nước 2 – 3 lần/tháng,,,,,,,
CCNPLT0222,Aglaonema ‘Red Star’,Cây hồng phát lộc,"• Kích thước tán: 10 – 15 cm
• Chiều cao tổng: 30 – 35 cm",Trung bình,Nắng tán xạ / Nơi râm mát,Thay nước 2 – 3 lần/tháng,,,,,,,
CCNPLT0223,Aglaonema ‘Red Anjamani’,Cây hồng phát lộc,"• Kích thước tán: 35 – 40cm
• Chiều cao: 35 – 40cm",Dễ chăm sóc,Nắng tán xạ / Nơi râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0224,Aglaonema ‘Pink Lady’,Cây hồng phát lộc,"• Kích thước tán: 35 – 40cm
• Chiều cao: 35 – 40cm",Dễ chăm sóc,Nắng tán xạ / Nơi râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0225,Aglaonema ‘Pink Butterfly’,Cây thịnh vượng,"• Kích thước tán: 35 – 40cm
• Chiều cao: 35 – 40cm",Dễ chăm sóc,Nắng tán xạ / Nơi râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0226,Aglaonema ‘Red Panama,Cây hồng ngân,"• Kích thước tán: 35 – 40cm
• Chiều cao: 35 – 40cm",Dễ chăm sóc,Nắng tán xạ / Nơi râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0227,Aglaonema ‘Ivy Green’,Cây tiểu bạch mã hoàng tử,"• Kích thước tán: 40 – 50cm
• Chiều cao: 30 – 35 cm",Dễ chăm sóc,Nắng tán xạ / Nơi râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0228,Dieffenbachia ‘Tropic Marianne’,Cây thiên hoàng,"• Kích thước tán: 35 – 40cm
• Chiều cao: 35 – 40cm",Dễ chăm sóc,Nắng tán xạ / Nơi râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0229,Aglaonema ‘Ivy Green’,Cây tiểu bạch mã hoàng tử,"• Kích thước tán: 20 – 25cm
• Chiều cao: 30 – 35 cm",Dễ chăm sóc,Nắng tán xạ / Nơi râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0230,Ficus Elastica Tineke,Đa búp đỏ cẩm thạch,Chiều cao 30 – 40cm,Rất dễ chăm sóc,Ánh sáng tán xạ,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0231,Codiaeum variegatum,Cây cô tòng đuôi lươn,"• Kích thước tán: 30 – 40cm
• Chiều cao: 40 – 50 cm",Dễ chăm sóc,Nắng trực tiếp / Nắng tán xạ,"• Ngoài trời: Tưới nước hằng ngày
• Trong nhà: 3 – 4 lần/tuần",,,,,,,
CCNPLT0232,Codiaeum variegatum ‘Petra’,Cây cô tòng lá mít,"• Kích thước tán: 30cm
• Chiều cao: 30 – 40 cm",Dễ chăm sóc,Nắng trực tiếp / Nắng tán xạ,"• Ngoài trời: Tưới nước hằng ngày
• Trong nhà: 3 – 4 lần/tuần",,,,,,,
CCNPLT0233,Aglaonema ‘Suksom’,Cây vạn lộc đỏ,Chiều cao: 30 – 40 cm,Dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 3 – 4 lần/tuần,,,,,,,
CCNPLT0234,Aglaonema Super White,Cây ngọc bích,Chiều cao: 20 – 30cm,Dễ chăm sóc,Ánh sáng tán xạ; Tránh ánh nắng trực tiếp,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0235,Scheffera Octophylla,Ngũ gia bì cẩm thạch,Chiều cao 20 – 30 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0236,Radermachera Sinica,Cây hạnh phúc,Chiều cao: 60 – 80 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0237,Aglaonema red ‘Sumatra’,Cây bao thanh thiên,Chiều cao: 30 – 40 cm,Rất dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 3 – 4 lần/tuần,,,,,,,
CCNPLT0238,Philodendron Brazil Carnival,Trầu bà Brazil,"Chiều cao: 60 – 70 cm
Kích thước tán: 50 – 60 cm",Rất dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 3 – 4 lần/tuần,,,,,,,
CCNPLT0239,Philodendron burle marx var,Trầu bà tỷ phú cẩm thạch,"Chiều cao: 60 – 70 cm
Kích thước tán: 50 – 60 cm",Rất dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 3 – 4 lần/tuần,,,,,,,
CCNPLT0240,Aglaonema Morodoklok,Cây sao sáng lá đậm,"Chiều cao: 30 – 40 cm
Kích thước tán: 40 – 60 cm",Rất dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 3 – 4 lần/tuần,,,,,,,
CCNPLT0241,Chlorophytum orchidastrum,Cây phượng hoàng lửa / Lục thảo lan,Chiều cao 30 – 40 cm,Rất dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 3 – 4 lần/tuần,,,,,,,
CCNPLT0242,Philodendron Birkin,Trầu bà đế vương kim cương,Chiều cao 20 – 25 cm,Dễ chăm sóc,Nắng tán xạ,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0243,Philodendron Imperial ‘Rojo Congo’,Cây trầu bà đế vương vàng,"• Kích thước tán: 15 – 20cm
• Chiều cao: 15 – 20cm",Dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0244,Philodendron Imperial Green,Cây trầu bà đế vương vàng,"• Kích thước tán: 15 – 20cm
• Chiều cao: 15 – 20cm",Dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0245,Philodendron Imperial Golden,Cây trầu bà đế vương vàng,"• Kích thước tán: 15 – 20cm
• Chiều cao: 15 – 20cm",Dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0246,Philodendron Imperial Red,Cây trầu bà đế vương đỏ,"• Kích thước tán: 30 – 35 cm
• Chiều cao: 10 ~ 15 cm",Dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0247,Asplenium antiquum ‘Osaka’,Cây dương xỉ tổ chim Nhật Bản,"• Chiều cao 10 – 15 cm
• Đường kính tán 20 – 30cm",Rất dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0248,Calathea Musaica,Cây đuôi công ‘Network’,,Dễ chăm sóc,Nắng tán xạ / Nơi râm mát,Tưới nước 2 – 3 lần/tuần,Chiều cao 10 – 15 cm,,,,,,
CCNPLT0249,Calathea Orbifolia,Cây đuôi công táo xanh,,Dễ chăm sóc,Ít sáng / Bóng râm / Tán xạ,Thay nước 2 – 3  lần/tháng,"Chiều cao: 20 ~ 25 cm
Tán rộng 20 ~ 30 cm",,,,,,
CCNPLT0250,Ficus lyrata,Cây bàng Singapore,Chiều cao 50 – 60 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0251,Ficus lyrata,Cây bàng Singapore,Chiều cao 20 ~ 30 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0252,Radermachera Sinica,Cây hạnh phúc,"• Kích thước chậu: 28x42cm (DxC)
• Chiều cao tổng: 90 – 100 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0253,Zamioculcas Zamiifolia,Cây kim tiền / Kim phát tài,Chiều cao tổng: 20~30 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0254,Ficus Elastica Tineke,Đa búp đỏ cẩm thạch,Chiều cao 10 – 15cm,Rất dễ chăm sóc,Ánh sáng tán xạ,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0255,Radermachera Sinica,Cây hạnh phúc,"• Kích thước chậu: 33x45cm (DxC)
• Chiều cao tổng: 150 – 160 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0256,Thaumatophyllum bipinnatifidum,Cây trầu bà thanh xuân / Cây trầu bà tay Phật,"Kích thước chậu: 35×42 cm (DxC)
Chiều cao tổng 150 – 160cm",Dễ chăm sóc,Nắng tán xạ / Bóng râm,"Ít tưới nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0257,Dracaena reflexa,Trúc bách hợp,"Kích thước chậu: 33×45 cm
Chiều cao tổng: 100 – 130 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0258,Radermachera Sinica,Cây hạnh phúc,Chiều cao 120 – 140 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0259,Radermachera Sinica,Cây hạnh phúc,Chiều cao 120 – 140 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0260,Epipremnum Aureum ‘Njoy Pothos’,Cây trầu bà cẩm thạch / Trầu bà sữa,Chiều dài 40 – 50 cm,Dễ chăm sóc,Ánh sáng tán xạ; Chịu được khuất sáng,Tưới nước 2 – 3  lần/tuần,,,,,,,
CCNPLT0261,Dieffenbachia tiki,Cây tuyết trắng,Chiều cao 40cm,Dễ chăm sóc,Ánh sáng tán xạ; Chịu được khuất sáng,Tưới nước 2 – 3  lần/tuần,,,,,,,
CCNPLT0262,Philodendron Imperial Green,Cây trầu bà đế vương xanh,"Kích thước chậu: 35×40 cm (DxC)
Chiều cao tổng 80 ~ 90 cm",Dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0263,Philodendron Imperial Golden,Cây trầu bà đế vương vàng,"• Kích thước chậu: 22×24 (DxC)
• Chiều cao tổng: 40 – 45cm",Dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0264,Calathea Roseopicta ‘Marion’,Cây đuôi công,,Vừa phải,Nắng tán xạ / Chịu râm mát,Tưới nước 4 – 5 lần/tuần,"Kích thước chậu:
Chiều cao tổng: 40 -–50 cm",,,,,,
CCNPLT0265,Zamioculcas Zamiifolia,Cây kim tiền / Kim phát tài,"Kích thước châu: 15×16 cm
Chiều cao tổng: 40~50 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0266,Maranta leuconeura,Cây cầu nguyên,"Chiều cao: 10cm
Đường kính tán: 25cm",Dễ chăm sóc,Ánh sáng tán xạ / Râm mát,Tưới nước 4 – 5 lần/tuần,,,,,,,
CCNPLT0267,Calathea burle-marxii var,Cây đuôi xương cá,,Dễ chăm sóc,Ít sáng / Bóng râm / Tán xạ,"Vừa phải, 2 – 3  lần/tuần","Chiều cao: 20 ~ 25 cm
Tán rộng 20 ~ 30 cm",,,,,,
CCNPLT0268,Calathea Warscewiczii,Cây đuôi công,,Trung bình,Nắng tán xạ / Chịu râm mát,Tưới nước 5 – 6 lần/tuần,Chiều cao 40 – 50 cm,,,,,,
CCNPLT0269,Calathea Roseopicta ‘Marion’,Cây đuôi công,,Vừa phải,Nắng tán xạ,"Ít nước, 2 – 3 lần/tuần",Chiều cao 40 -–50 cm,,,,,,
CCNPLT0270,Calathea roseopicta Dottie,Cây đuôi công tím,,Trung bình,Nắng tán xạ / Chịu râm mát,Tưới nước 4 – 5 lần/tuần,Cao 10 – 20 cm,,,,,,
CCNPLT0271,Calathea roseopicta Green Goddess,Đuôi công nữ thần xanh,Chiều cao 10 – 15 cm,Dễ chăm sóc,"Nắng tán xạ, chịu bóng mát",4 – 5 lần/tuần,,,,,,,
CCNPLT0272,Ficus lyrata ‘Bambino’,Cây bàng Singapore lá nhỏ,Chiều cao 70 ~ 80 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0273,Philodendron billietiae,Cây hồng hạc chân cam,"Kích thước chậu: 32×25 cm (DxC)
Kích thước lá: 45 ~ 50 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0274,Philodendron billietiae,Cây hồng hạc chân cam,"Chiều cao 40 ~ 50 cm
Kích thước lá: 45 ~ 50 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0275,Anthurium andreanum,Cây hồng môn,Chiều cao 20 – 30 cm,Dễ chăm sóc,Nắng tán xạ / Chịu râm mát,Tưới nước 2 – 3 lần/lần,,,,,,,
CCNPLT0276,Nephrolepis cordifolia,Dương xỉ lá me / Ráng cốt cắt,Chiều cao: 30~40 cm,Rất dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0277,Nephrolepis cordifolia,Dương xỉ lá me / Ráng cốt cắt,Chiều cao: 30~40 cm,Rất dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0278,Chrysalidocarpus lutescens Wendl,Cau vàng Nhật Bản,Chiều cao ~160 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0279,Chrysalidocarpus lutescens Wendl,Cau lụa vàng Nhật Bản,Chiều cao ~120 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0280,Zamioculcas Zamiifolia,Cây kim tiền / Kim phát tài,"Kích thước châu: 30×60 cm
Chiều cao tổng: 110~120 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0281,Araucaria angustifolia,Cây tùng bách tán,Chiều cao 30 ~ 40 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0282,Philodendron billietiae,Cây hồng hạc chân cam,"Chiều cao 30 ~ 40 cm
Kích thước lá: 20 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0283,Scheffera Octophylla,Ngũ gia bì,Chiều cao 30 ~ 40 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0284,Ficus lyrata,Cây bàng Singapore,Chiều cao 70 ~ 80 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0285,Radermachera Sinica,Cây hạnh phúc,"• Kích thước chậu: 30x40cm (DxC)
• Chiều cao tổng: 80 – 100 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0286,Scheffera Octophylla,Ngũ gia bì,Chiều cao 30 ~ 40 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0287,Scheffera Octophylla,Ngũ gia bì,Chiều cao 30 ~ 40 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0288,Chrysalidocarpus lutescens Wendl,Cau lụa vàng Nhật Bản,Chiều cao ~160 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0289,Chrysalidocarpus lutescens Wendl,Cau lụa vàng Nhật Bản,Chiều cao ~160 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0290,Ficus lyrata,Cây bàng Singapore,Chiều cao 50 – 60 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0291,Zamioculcas zamiifolia,Cây kim tiền / Cây kim phát tài,Chiều cao 60 – 80cm,Dễ chăm sóc,Nắng tán xạ hoặc trực tiếp,"Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0292,Ficus lyrata,Bàng Singapore / Sung tỳ bà,,Dễ chăm sóc,Nắng trực tiếp / Ánh sáng tán xạ,"Ít nước, 2 – 3 lần/tuần",Chiều cao tổng: 100 – 120 cm,,,,,,
CCNPLT0293,Pachira aquatica,Cây kim ngân,Chiều cao 180 – 200 cm,Dễ chăm sóc,Ánh sáng tán xạ; Nắng trực tiếp,Tưới ít nước (2 lần/tuần),,,,,,,
CCNPLT0294,Pachira aquatica,Cây kim ngân,Chiều cao 40cm,Dễ chăm sóc,Ánh sáng tán xạ; Nắng trực tiếp,Tưới ít nước (2 lần/tuần),,,,,,,
CCNPLT0295,Pachira aquatica,Cây kim ngân,Chiều cao 40cm,Dễ chăm sóc,Ánh sáng tán xạ; Nắng trực tiếp,Tưới ít nước (2 lần/tuần),,,,,,,
CCNPLT0296,Pachira aquatica,Cây kim ngân,,Dễ chăm sóc,Nắng tán xạ / Chịu râm mát,Thay nước 2 – 3 lần/tháng,Chiều cao 50 – 60 cm,,,,,,
CCNPLT0297,Ficus lyrata,Bàng Singapore / Sung tỳ bà,,Dễ chăm sóc,Nắng trực tiếp / Ánh sáng tán xạ,"Ít nước, 2 – 3 lần/tuần","Kích thước chậu: 40×35 cm (DxC)
Chiều cao tổng: 150 – 160 cm",,,,,,
CCNPLT0298,Ficus lyrata,Bàng Singapore / Sung tỳ bà,,Dễ chăm sóc,Nắng trực tiếp / Ánh sáng tán xạ,"Ít nước, 2 – 3 lần/tuần","Kích thước chậu: 40×35 cm (DxC)
Chiều cao tổng: 150 – 160 cm",,,,,,
CCNPLT0299,Ficus lyrata,Bàng Singapore / Sung tỳ bà,,Dễ chăm sóc,Nắng trực tiếp / Ánh sáng tán xạ,"Ít nước, 2 – 3 lần/tuần","Kích thước chậu: 40×40 cm (DxC)
Chiều cao tổng: 160 – 180 cm",,,,,,
CCNPLT0300,Zamioculcas Zamiifolia,Cây kim tiền,"Kích thước châu: 35×51 cm
Chiều cao tổng: 90~100 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0301,Ficus lyrata,Bàng Singapore / Sung tỳ bà,,Dễ chăm sóc,Nắng trực tiếp / Ánh sáng tán xạ,"Ít nước, 2 – 3 lần/tuần","Kích thước chậu: 30×30 cm (DxC)
Chiều cao 160 – 180 cm",,,,,,
CCNPLT0302,Ficus lyrata,Bàng Singapore / Sung tỳ bà,,Dễ chăm sóc,Nắng trực tiếp / Ánh sáng tán xạ,Tưới nước 2 – 3 lần/tuần,"• Kích thước chậu: 40×60 cm (DxC)
• Chiều cao tổng 120 – 130 cm",,,,,,
CCNPLT0303,Ficus lyrata,Cây bàng Singapore,"Kích thước: 34×45 cm (DxH)
Chiều cao tổng: 150 – 160 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0304,Ficus lyrata,Cây bàng Singapore,"Kích thước chậu: 25×25 cm (DxH)
Chiều cao tổng: 90 – 100 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0305,Ficus lyrata,Cây bàng Singapore,"Kích thước chậu: 23×21 cm (DxH)
Chiều cao tổng: 60 – 70 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0306,Ficus lyrata,Cây bàng Singapore,"Kích thước chậu: 15×15 cm
Chiều cao tổng: ~40 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0307,Ficus lyrata,Bàng singapore / Sung tỳ bà,,Dễ chăm sóc,Chịu được nắng trực tiếp,"Ít nước, 2 – 3 lần/tuần",Chiều cao ~20 cm,,,,,,
CCNPLT0308,Ficus lyrata,Bàng singapore / Sung tỳ bà,,Dễ chăm sóc,Chịu được nắng trực tiếp,"Ít nước, 2 – 3 lần/tuần",Chiều cao ~20 cm,,,,,,
CCNPLT0309,Ficus lyrata,Bàng singapore / Sung tỳ bà,,Dễ chăm sóc,Nắng tán xạ,Tưới nước 2 – 3 lần/tuần,"• Kích thước chậu: 12x11cm (DxC)
• Chiều cao ~20 cm",,,,,,
CCNPLT0310,Zamioculcas Zamiifolia,Cây kim tiền,"Kích thước chậu: 40×50
Chiều cao tổng: 110 ~ 120 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0311,Zamioculcas zamiifolia,Cây kim tiền,"Kích thước chậu: 25×45 cm
Chiều cao chậu + cây: 110 ~ 120 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0312,Zamioculcas zamiifolia,Cây kim tiền,"Kích thước chậu: 40×75 cm
Chiều cao chậu + cây: 110 ~ 120 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0313,Zamioculcas zamiifolia,Cây kim tiền,"• Kích thước chậu: 20×15 cm (DxC)
• Chiều cao tổng: ~45 cm",Dễ chăm sóc,Nắng tán xạ / Chịu râm mát tốt,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0314,Zamioculcas zamiifolia,Cây kim tiền / Cây kim phát tài,Chiều cao 20 – 30cm,Dễ chăm sóc,Nắng tán xạ hoặc trực tiếp,"Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0315,Zamioculcas zamiifolia,Cây kim tiền / Cây kim phát tài,Chiều cao 20 – 30cm,Dễ chăm sóc,Nắng tán xạ hoặc trực tiếp,"Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0316,Zamioculcas zamiifolia,Cây kim tiền,,Dễ chăm sóc,Nắng tán xạ hoặc trực tiếp,"Ít nước, 2 – 3 lần/tuần",Chiều cao 20 – 30 cm,,,,,,
