PLANTID,CODE,URL,TIÊU ĐỀ,TÊN KHOA HỌC,TÊN GỌI,GIÁ,MÔ TẢ,QUY CÁCH SẢN PHẨM,ĐỘ KHÓ,YÊU CẦU ÁNH SÁNG,NHU CẦU NƯỚC,KÍCH THƯỚC CÂY,LOẠI HẠT,CHẤT LIỆU CHẬU,MÀU SẮC,ĐỘ PH CỦA ĐẤT,LỌC KHÔNG KHÍ,TƯỚI NƯỚC
CCNPLT0328,CATH182,https://mowgarden.com/cay-duoi-cong-xanh-dom-thuy-sinh-cath182/,Cây đuôi công sọc xanh thủy sinh Calathea Merak CATH182,Calathea merak,Cây đuôi công sọc xanh,240000,"Cây đuôi công còn giúp mang lại không khí tự nhiên xanh mát, và là biểu tượng cho quyền quý, may mắn nên được lựa chọn làm món quà tặng trong các dịp sinh nhật, lễ tết, ngày đặc biệt…",,Dễ chăm sóc,Nắng tán xạ / Chịu râm mát,Thay nước 2 – 3 lần/tháng,Cao 40 – 60 cm,,,,,,
CCNPLT0329,CALA305,https://mowgarden.com/cay-duoi-cong-xanh-thuy-sinh-cala305/,Cây đuôi công xanh thuy sinh CALA305,Calathea makoyana,Cây đuôi công đốm,240000,"Cây đuôi công còn giúp mang lại không khí tự nhiên xanh mát, và là biểu tượng cho quyền quý, may mắn nên được lựa chọn làm món quà tặng trong các dịp sinh nhật, lễ tết, ngày đặc biệt…",,Dễ chăm sóc,Nắng tán xạ / Chịu râm mát,Thay nước 2 – 3 lần/tháng,Cao 40 – 60 cm,,,,,,
CCNPLT0330,DRAC402,https://mowgarden.com/cay-huyet-du-kiem-chau-bau-uom-drac402/,Cây huyết dụ kiếm chậu bầu ươm DRAC402,Dracaena marginata Tricolor,Cây huyết dụ kiếm,180000,"Cây huyết Dụ là một loại cây phong thủy có tác dụng mang lại may mắn, giữ tiền của và tài lộc cho gia chủ. Bên cạnh đó, cây huyết dụ được trồng hòng để ngăn chặn, xua đuổi tà ma tấn công vào nhà.",Chiều cao 80 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0331,aloca009,https://mowgarden.com/cay-mon-quan-am-de-ban-alocasia-polly-chau-dat-nung-aloca009/,Cây môn quan âm để bàn Alocasia Polly chậu đất nung ALOCA009,Alocasia Amazonica Polly,Môn quan âm,350000,"Điểm nổi bật nhất ở Môn Quan Âm là hình dáng lá độc đáo. Với những chiếc lá hình tim, nổi bật lên bề mặt lá là những đường gân dày, hòa cùng sắc tím trông vô cùng bắt mắt, độc đáo.",Cao 20 – 30 cm,Dễ chăm sóc,Nắng tán xạ,"Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0332,PEOB502,https://mowgarden.com/cay-truong-sinh-cam-thach-chau-dat-nung-peob502/,Cây trường sinh cẩm thạch chậu đất nung PEOB502,Peperomia obtusifolia var,Cây trường sinh cẩm thạch,160000,"Cây trường sinh cẩm thạch là một loại cây cảnh trong nhà đẹp mắt, với bộ lá luôn xanh mát, sức sống mãnh liệt, dễ chăm sóc. Đây cũng là loại cây phong thủy với tác dụng mang đến sức khỏe, may mắn và tiền tài tới cho gia chủ. Người ta thường hay tặng cây trường sinh vào những dịp đặc biệt như là một lời chúc phúc tới người nhận.",,Dễ chăm sóc,Nắng tán xạ / Chịu râm mát,Tưới nước 2 – 3 lần/tuần,"• Kích thước chậu: 12x11cm (DxC)
• Chiều cao 20 – 30 cm",,,,,,
CCNPLT0333,phil018,https://mowgarden.com/cay-trau-ba-philodendron-paraiso-chau-gom-de-ban-phil018/,Cây trầu bà Philodendron Paraiso chậu gốm để bàn PHIL018,Philodendron Paraiso,Philodendron Paraiso,500000,"Philodendron Paraiso là một loại cây nội thất cao cấp có hình dáng lá độc đáo, thích hợp đặt trong những không gian hiện đại và sang trọng.",Cỡ lá 10 – 15 cm,Dễ chăm sóc,Nắng tán xạ,"Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0334,phil017,https://mowgarden.com/cay-trau-ba-philodendron-gigas-leo-tru-phil017/,Cây trầu bà Philodendron Gigas leo trụ PHIL017,Philodendron Gigas,Philodendron Gigas,650000,"Philodendron Gigas là một loại cây nội thất cao cấp có hình dáng lá độc đáo, thích hợp đặt trong những không gian hiện đại và sang trọng.",Cỡ lá 10 – 15 cm,Dễ chăm sóc,Nắng tán xạ,"Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0335,LICU009,https://mowgarden.com/cay-co-nhat-co-trung-cao-90cm-chau-uom-licu009/,Cây cọ nhật cỡ trung cao 90cm chậu ươm LICU009,Licuala grandis,Cọ Nhật,300000,"Cây cọ nhật là loại cây trong nhà có kiểu lá xòe rộng như những cánh quạt, giúp trang trí không gian thêm xanh mát. Nó còn là loại cây phong thủy tượng trưng cho sự giàu sang và tiền tài nên rất đáng trồng trên bàn làm việc.",Chiều cao cây: 90cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước: 2 – 3 lần/tuần,,,,,,,
CCNPLT0336,syng001,https://mowgarden.com/cay-troc-bac-hong-de-ban-chau-su-syngonium-pink-syng001/,Cây tróc bạc hồng để bàn chậu sứ Syngonium Pink SYNG001,Syngonium Pink,Tróc bạc hồng,250000,"Cây có bản lá to màu xanh thuộc hành Mộc nên cây phù hợp làm cây phong thủy cho người mệnh Mộc và mệnh Hỏa, mang đến may mắn, thành đạt và bình an cho gia chủ.",Cao 25 – 35 cm,Dễ chăm sóc,Nắng tán xạ.,"Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0337,AGLA014,https://mowgarden.com/cay-hoang-hau-chau-ly-su-mau-trang-agla014/,Cây hoàng hậu chậu ly sứ màu trắng AGLA014,Aglaonema “Diamond Bay”,Cây hoàng hậu,850000,"Cây hoàng hậu có bộ lá độc đáo với phần rìa màu xanh đậm, bên trong màu bạc rất đẹp mắt. Loại cây này tượng trưng cho sự sang trọng, cao quý và quyền lực tựa như cái tên mà người đời đặt cho vậy.",Chiều cao 90 – 100 cm,Dễ chăm sóc,Nắng tán xạ,"Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0338,AGLA013,https://mowgarden.com/cay-hoang-hau-chau-su-mau-trang-agla013/,Cây hoàng hậu chậu sứ màu trắng AGLA013,Aglaonema “Diamond Bay”,Cây hoàng hậu,550000,"Cây hoàng hậu có bộ lá độc đáo với phần rìa màu xanh đậm, bên trong màu bạc rất đẹp mắt. Loại cây này tượng trưng cho sự sang trọng, cao quý và quyền lực tựa như cái tên mà người đời đặt cho vậy.",Cao 30 – 40 cm,Dễ chăm sóc,Nắng tán xạ,"Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0339,mons015,https://mowgarden.com/cay-trau-ba-hanh-phuc-de-ban-chau-gom-monstera-pinnatipartita-mons015/,Cây trầu bà hạnh phúc để bàn chậu gốm Monstera Pinnatipartita MONS015,Monstera Pinnatipartita,Trầu bà hạnh phúc,350000,"Cây có bản lá to màu xanh thuộc hành Mộc nên cây phù hợp làm cây phong thủy cho người mệnh Mộc và mệnh Hỏa, mang đến may mắn, thành đạt và bình an cho gia chủ.",Cao 40 – 60 cm,Dễ chăm sóc,Nắng tán xạ.,"Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0340,ASPA004,https://mowgarden.com/cay-duong-xi-ha-lan-chau-gom-muoi-tieu-aspl009/,Cây dương xỉ Hà Lan để bàn chậu gốm sứ ASPA004,Asplenium pavati,Dương xỉ Hà Lan,280000,"Dương xỉ Hà Lan là một loại cây trong nhà có sức sống rất bền bỉ, bộ lá cứng cáp, kháng bệnh tốt và dễ chăm sóc. Nó còn nổi tiếng với khả năng lọc không khí giúp môi trường sống thêm trong lạnh. loại bỏ các chất khí độc hại trong không khí.","• Kích thước chậu: 15x14cm (DxC)
• Chiều cao: 25cm – Tán: 15cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0341,cala018,https://mowgarden.com/cay-duoi-cong-tao-xanh-de-ban-chau-gom-calathea-orbifolia-cala018/,Cây đuôi công táo xanh để bàn chậu gốm Calathea Orbifolia CALA018,Calathea Orbifolia,Đuôi công táo xanh,400000,"Với tán lá tròn trịa xoè rộng phủ xanh cả khu vườn nhỏ, bạn chỉ cần trồng vài cây Orbifolia là không khí tropical mát mẻ đã về với không gian nhà rồi đó.",Cao 35 – 45 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0342,ASPL008-1,https://mowgarden.com/cay-duoi-cong-xuong-ca-chau-uom-cala016/,Cây Đuôi công xương cá chậu ươm CALA016,Calathea Concinna,Đuôi công xương cá,200000,"Cây đuôi công thường được chọn để mang lại không gian xanh mát cho phòng làm việc, phòng làm việc, văn phòng, quán cafe,… Bởi loài cây có những đường vân sọc độc đáo, cùng màu xanh dễ chịu giúp căn phòng trở nên tươi mát và sang trọng hơn.",Chiều cao: 45cm – Tán: 25cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 3 – 5 lần/tuần",,,,,,,
CCNPLT0343,ASPL008,https://mowgarden.com/cay-duong-xi-phuong-hoang-chau-uom-aspl008/,Cây dương xỉ phượng hoàng chậu ươm ASPL008,Blechnum gibbum Silver Lady,Dương xỉ phượng hoàng,200000,"Cây dương xỉ phượng hoàng là một loại cây nội thất có tán lá xòe tròn đẹp mắt, thích hợp đặt trong những không gian hiện đại và sang trọng.",Chiều cao 90 – 100cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0344,PHIL016,https://mowgarden.com/cay-philodendron-mayoi-leo-cot-chau-uom-phil016/,Cây philodendron mayoi leo cột chậu ươm PHIL016,Philodendron Mayoi,Philodendron Mayoi,650000,"Philodendron Mayoi là một loại cây nội thất cao cấp có hình dáng lá độc đáo, thích hợp đặt trong những không gian hiện đại và sang trọng.",Chiều cao 90 – 100cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0345,,https://mowgarden.com/cay-hoang-hau-chau-su-mau-xanh-duong-agla012/,Cây hoàng hậu chậu sứ màu xanh dươngAGLA012,Aglaonema “Diamond Bay”,Cây hoàng hậu,450000,"Cây hoàng hậu có bộ lá độc đáo với phần rìa màu xanh đậm, bên trong màu bạc rất đẹp mắt. Loại cây này tượng trưng cho sự sang trọng, cao quý và quyền lực tựa như cái tên mà người đời đặt cho vậy.",Cao 30 – 40 cm,Dễ chăm sóc,Nắng tán xạ,"Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0346,CHAM005,https://mowgarden.com/cay-cau-tieu-tram-mini-cap-doi-cong-vien-chau-su-cham005/,Cây cau tiểu trâm mini cặp đôi công viên chậu sứ CHAM005,Chamaedorea elegans,Cau tiểu trâm,250000,"Công việc đòi hỏi bạn phải tiếp xúc hằng ngày với các thiết bị hiện đại có nhiều bức xạ điện tử như máy tính, máy in, điện thoại khiến cho tình trạng sức khỏe bị ảnh hưởng, dẫn đến giảm chất lượng công việc. Hãy thử trồng một cây Cau Tiểu Trâm để bàn với tác dụng tuyệt vời đã được minh chứng.","• Kích thước chậu: 12x11cm (DxC)
• Chiều cao tổng: 30 – 35 cm",Dễ chăm sóc,Ánh sáng tán xạ,Tưới nước 2 – 3 lần/tuần),,,,,,,
CCNPLT0347,CALA016,https://mowgarden.com/cay-duoi-cong-tao-xanh-de-ban-chau-su-cala016/,Cây đuôi công táo xanh để bàn chậu sứ CALA016,Calathea Orbifolia,Đuôi công táo xanh,450000,"Với tán lá tròn trịa xoè rộng phủ xanh cả khu vườn nhỏ, bạn chỉ cần trồng vài cây Orbifolia là không khí tropical mát mẻ đã về với không gian nhà rồi đó.",Chiều cao 35 – 45 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0348,PODO001,https://mowgarden.com/cay-cau-tieu-tram-mini-de-ban-chau-su-podo001/,Cây tùng la hán mini để bàn chậu sứ PODO001,Podocarpus brevifolius,Tùng la hán,180000,"Cây tùng trong phong thủy được coi là loài cây quý có linh khí rất tốt bởi chúng có thể sống hàng trăm năm, giúp cản gió độc, xua đuổi tà khí, tránh những điều xui xẻo và đem lại sự trường thọ gia chủ.",Chiều cao: 15 cm,Dễ chăm sóc,Ánh sáng tán xạ,Tưới nước 1 – 2 lần/tuần,,,,,,,
CCNPLT0349,sans036,https://mowgarden.com/cay-luoi-ho-vang-chau-dat-nung-co-hoa-tiet-sans036/,Cây lưỡi hổ vàng chậu đất nung có họa tiết SANS036,Sansevieria trifasciata,Lưỡi hổ vàng,250000,"Lưỡi hổ có lẽ là loại cây nội thất quen thuộc nhất đối với những người yêu cây cảnh. Loài cây này có khả năng chịu nóng, chịu hạn tốt, sống được trong bóng râm và đặc biệt nó có khả năng lọc không khí rất tuyệt vời.",Chiều cao cây + chậu: 40 – 50 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được thiếu nắng","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0350,pina003,https://mowgarden.com/cay-tuyet-tung-chau-su-trang-de-ban-pina003/,Cây tuyết tùng chậu sứ trắng để bàn PINA003,Cedrus,Cây tuyết tùng,180000,"Tuyết tùng là một trong những loại cây phong thủy để bàn được nhiều người yêu thích bởi vẻ đẹp mộc mạc, cùng những ý nghĩa tốt đẹp mà nó mang lại. Lá tuyết tùng thon gọn, ôm lấy nhau và rủ xuống tựa như những bông tuyết đang đọng lại trên lá",Cao 15 – 20cm gồm chậu,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0351,CHAM004,https://mowgarden.com/cay-cau-tieu-tram-mini-chau-dat-nung-de-ban-cham004/,Cây cau tiểu trâm mini chậu đất nung để bàn CHAM004,Chamaedorea elegans,Cau tiểu trâm,180000,"Công việc đòi hỏi bạn phải tiếp xúc hằng ngày với các thiết bị hiện đại có nhiều bức xạ điện tử như máy tính, máy in, điện thoại khiến cho tình trạng sức khỏe bị ảnh hưởng, dẫn đến giảm chất lượng công việc. Hãy thử trồng một cây Cau Tiểu Trâm nhỏ để bàn với tác dụng tuyệt vời đã được minh chứng.",Chiều cao: 10 cm,Dễ chăm sóc,Ánh sáng tán xạ,Ít tưới (1 – 2 lần/tuần),,,,,,,
CCNPLT0352,CATH049,https://mowgarden.com/cay-duoi-cong-dom-chau-gom-calathea-makoyana-cath049/,Cây đuôi công đốm chậu gốm Calathea Makoyana CATH049,Calathea Makoyana,Đuôi công lá đốm,220000,"Loài cây đuôi công này được trồng rất phổ biến trong nội thất với mục đích trang trí, tạo thêm mảnh xanh và thanh lọc không khí, họa tiết lá rất sang trọng.",Cao 25 – 35 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0353,AGLA200,https://mowgarden.com/cay-van-loc-son-anjamani-red-chau-uom-agla200/,Cây vạn lộc son ‘Anjamani red’ chậu ươm AGLA200,Aglaonema Anjamani red,Cây vạn lộc son,150000,"Cây vạn lộc là dòng cây cảnh nội thất dễ chăm sóc, có thể sống được trong điều kiện ánh sáng thấp. Với một hình dạng lá độc đáo, bên trên là những họa tiết đẹp mắt giống như tranh vẽ giúp tạo thêm điểm nhấn cho không gian nội thất.",Chiều cao 20 – 30 cm,"Trung bình, dễ thối lá",Nắng tán xạ / Nơi râm mát,Tưới nước 2 – 3 lần/lần,,,,,,,
CCNPLT0354,CATH044,https://mowgarden.com/cay-duoi-cong-dom-chau-gom-calathea-makoyana-cath044/,Cây đuôi công đốm chậu gốm Calathea Makoyana CATH044,Calathea Makoyana,Đuôi công lá đốm,180000,"Loài cây đuôi công này được trồng rất phổ biến trong nội thất với mục đích trang trí, tạo thêm mảnh xanh và thanh lọc không khí, họa tiết lá rất sang trọng.",Cao 25 – 35 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0355,QUTA03-1,https://mowgarden.com/cay-qua-tang-mix-chau-men-su-trang-quta004/,Cây quà tặng mix chậu men sứ trắng QUTA004,,Cây quà tặng,420000,"Cây xanh sẽ là món quà tặng tuyệt vời mang lại nhiều ý nghĩa, giúp gắn kết giữa bạn với người được tặng.","Kích thước chậu: 20cm
Kích thước cây: 25cm",Dễ chăm sóc,Ánh sáng tán xạ,,,,,,,,2 ~ 3 lần/tuần
CCNPLT0356,QUTA03,https://mowgarden.com/cay-qua-tang-mix-chau-men-su-trang-quta003/,Cây quà tặng mix chậu men sứ trắng QUTA003,,Cây quà tặng,420000,"Cây xanh sẽ là món quà tặng tuyệt vời mang lại nhiều ý nghĩa, giúp gắn kết giữa bạn với người được tặng.","Kích thước chậu: 20cm
Kích thước cây: 25cm",Dễ chăm sóc,Ánh sáng tán xạ,,,,,,,,2 ~ 3 lần/tuần
CCNPLT0357,QUTA02,https://mowgarden.com/cay-qua-tang-mix-chau-men-su-trang-quta002/,Cây quà tặng mix chậu men sứ trắng QUTA002,,Cây quà tặng,420000,"Cây xanh sẽ là món quà tặng tuyệt vời mang lại nhiều ý nghĩa, giúp gắn kết giữa bạn với người được tặng.","Kích thước chậu: 20cm
Kích thước cây: 25cm",Dễ chăm sóc,Ánh sáng tán xạ,,,,,,,,2 ~ 3 lần/tuần
CCNPLT0358,QUTA01,https://mowgarden.com/cay-qua-tang-mix-chau-men-su-trang-quta001/,Cây quà tặng mix chậu men sứ trắng QUTA001,,Cây quà tặng,420000,"Cây xanh sẽ là món quà tặng tuyệt vời mang lại nhiều ý nghĩa, giúp gắn kết giữa bạn với người được tặng.","Kích thước chậu: 20cm
Kích thước cây: 25cm",Dễ chăm sóc,Ánh sáng tán xạ,,,,,,,,2 ~ 3 lần/tuần
CCNPLT0359,cala013,https://mowgarden.com/cay-mon-linh-de-ban-chau-su-mini-caladium-hilo-beauty-cala013/,Cây môn lính để bàn chậu sứ mini Caladium Hilo Beauty CALA013,Caladium Hilo Beauty,Môn lính,250000,"Loài cây đuôi công này được trồng rất phổ biến trong nội thất với mục đích trang trí, họa tiết lá rất sang trọng.",Cao 20 – 30 cm,Dễ chăm sóc,Nắng tán xạ,"Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0360,CAMA004,https://mowgarden.com/cay-duoi-cong-khong-tuoc-makoyana-chau-su-cama004/,Cây đuôi công khổng tước ‘Makoyana’ chậu sứ CAMA004,Calathea Makoyana,Đuôi công lá đốm / Đuôi công khổng tước,320000,"Loài cây đuôi công này được trồng rất phổ biến trong nội thất với mục đích trang trí, tạo thêm mảnh xanh và thanh lọc không khí, họa tiết lá rất sang trọng.","• Kích thước chậu: 14x14cm (DxC)
• Chiều cao 25 – 35 cm",Dễ chăm sóc / Chịu hạn tốt,Nắng tán xạ / Chịu râm mát,Tước nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0361,phil012,https://mowgarden.com/cay-trau-rong-leo-tru-philodendron-golden-dragon-phil012/,Cây trầu rồng leo trụ Philodendron Golden Dragon PHIL012,Philodendron Golden Dragon,Trầu rồng,550000,"Là lựa chọn tuyệt với cho những không gian nội thất mở, tiểu cảnh nhiệt đới đa dạng.",Chiều cao 40 – 50cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0362,ZAMI015,https://mowgarden.com/cay-kim-tien-co-trung-chau-xi-mang-da-mai-vuong-zami015/,Cây kim tiền cỡ trung chậu xi măng đá mài vuông ZAMI015,Zamioculcas Zamiifolia,Cây kim tiền / Kim phát tài,700000,"Cây kim tiền là loài thực vật họ nhà Araceae, có lá hình xương cá màu xanh mướt. Loài này rất dễ sống phát triển mạnh ở những nơi có độ ẩm cao, thường được trồng để trang trí trong phòng khách, làm quà tặng tân gia, khai trương cửa hàng.","Kích thước chậu: 30×30 cm
Chiều cao tổng: 50-70 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0363,mons014,https://mowgarden.com/cay-trau-ba-nam-my-monstera-nhieu-than-chau-gom-hoa-tiet-mons014/,Cây Trầu bà Nam Mỹ Monstera nhiều thân chậu gốm họa tiết MONS014,Monstera Deliciosa,Trầu bà lá xẻ,1200000,"Là loài cây sở hữu cho mình những chiếc lá được tạo nét như trái tim, càng lớn lá bắt đầu xuất hiện các đường xẻ một cách ngẫu nhiên.",Cao 80 – 100 cm,Dễ chăm sóc,Nắng tán xạ.,"Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0364,CATH104,https://mowgarden.com/cay-duoi-phung-de-ban-chau-men-su-trang-cath104/,Cây đuôi phụng lớn chậu men sứ trắng CATH104,Calathea Lancifolia,Cây đuôi phụng,350000,"Vẻ đẹp độc đáo của loài cây này khiến cho người ta phải gọi nó bằng cái tên là cây đuôi phụng, và theo “mặc định” thì nó luôn là một sự lựa chọn tuyệt hảo được dùng để trang trí cho không gian nội thất thêm phần sinh động.","• Kích thước lá: 10 – 20cm
• Chiều cao: 25 – 40cm",Dễ chăm sóc,Ánh sáng tán xạ / Chịu được râm mát,Ít nước 2 3 lần/tuần,,,,,,,
CCNPLT0365,CAMA005,https://mowgarden.com/cay-duoi-cong-khong-tuoc-makoyana-chau-dat-nung-cama005/,Cây đuôi công khổng tước ‘Makoyana’ chậu đất nung CAMA005,Calathea Makoyana,Đuôi công khổng tước,240000,"Loài cây đuôi công này được trồng rất phổ biến trong nội thất với mục đích trang trí, tạo thêm mảnh xanh và thanh lọc không khí, họa tiết lá rất sang trọng.","• Kích thước chậu: 14×14 cm (DxC)
• Chiều cao tổng: 20 – 30 cm",Dễ chăm sóc / Chịu hạn tốt,Nắng tán xạ / Chịu râm mát tốt,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0366,cbtt001,https://mowgarden.com/cay-bao-thanh-thien-chau-gom-de-ban-cbtt001/,Cây bao thanh thiên chậu gốm để bàn CBTT001,Pride of Sumatra,Bao thanh thiên,350000,"Sống lâu năm và thường mọc thành bụi, mang đặc điểm nổi bật nhờ các gân đỏ rõ nét trên nền lá màu xanh tía.",Cao 30 – 40 cm,Dễ chăm sóc,Nắng tán xạ,"Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0367,phil011,https://mowgarden.com/cay-cong-chua-hong-philodendron-pink-princess-phil011/,Cây Công Chúa Hồng Philodendron Pink Princess PHIL011,Philodendron Pink Princess,"• Công chúa hồng
• Pink Princess",800000,"Philodendron Pink Princess với những mảng var màu hồng, mỗi chiếc lá với sự phân bổ màu sắc khác nhau chắc chắn sẽ được lòng mọi người.",Cao 40 – 50 cm,Trung bình,Ánh sáng tán xạ; Tránh ánh nắng trực tiếp,"• Vừa phải
• Đất trồng thông thoáng",,,,,,,
CCNPLT0368,cck001,https://mowgarden.com/cay-chuoi-kieng-chau-xi-mang-da-mai-cck001/,Cây chuối kiểng chậu xi măng đá mài CCK001,Ravenala,Chuối kiểng,750000,Cây sống tốt trong điều kiện khí hậu tại nước ta.,Cao 120 – 150 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0369,ctbh005,https://mowgarden.com/cay-truc-bach-hop-chau-gom-co-hoa-tiet-ctbh005/,Cây trúc bách hợp chậu gốm có họa tiết CTBH005,Dracaena reflexa,Trúc bách hợp,750000,"Cây trúc bách hợp thường được làm quà tặng nhân dịp khánh thành, khai trương, tân gia, như là lời chúc may mắn đến với người nhận.",Cao 80-100cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0370,BUBU004,https://mowgarden.com/cay-bang-dai-loan-cam-thach-chau-gom-su-bubu004/,Cây bàng Đài Loan cẩm thạch chậu gốm sứ BUBU004,Bucida Buceras Variegated,Bàng Đài Loan cẩm thạch,700000,"Cây Bàng Đài Loan Cẩm Thạch có lá nhỏ xinh và sắc xanh, viền trắng hồng rất khác biệt và nổi bật, giúp không gian trở nên độc đáo và sang trọng","• Kích thước chậu: 30×30 cm (DxC)
• Chiều cao tổng: 80 – 100 cm",Dễ chăm sóc,Nắng trực tiếp / Nắng tán xạ,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0371,crq001,https://mowgarden.com/cay-chuoi-re-quat-chau-gom-hoa-tiet-crq001/,Cây chuối rẻ quạt chậu gốm họa tiết CRQ001,Ravenala madagascariensis,Chuối rẻ quạt,750000,"Tuy cây chuối rẻ quạt thuộc giống cây ngoại nhập, nhưng cây vẫn sống tốt trong điều kiện khí hậu tại nước ta.",Cao 120 – 150 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0372,cptn008,https://mowgarden.com/cay-phat-tai-nui-2-tang-chau-su-cptn008/,Cây phát tài núi 2 tầng chậu sứ CPTN008,Dracaena draco,Phát tài núi,1650000,"Cây phát tài núi rất thường được lựa chọn để làm quà tặng vào những dịp khai trương, lên nhà mới, văn phòng mới… với mong muốn đem lại nhiều tài lộc và may mắn cho người được tặng.",Cao 150 – 160 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0373,cptn007,https://mowgarden.com/cay-phat-tai-nui-nhieu-nhanh-chau-su-hoa-tiet-cptn007/,Cây phát tài núi nhiều nhánh chậu sứ họa tiết CPTN007,Dracaena draco,Phát tài núi,3200000,"Cây phát tài núi rất thường được lựa chọn để làm quà tặng vào những dịp khai trương, lên nhà mới, văn phòng mới… với mong muốn đem lại nhiều tài lộc và may mắn cho người được tặng.",Cao 150 – 160 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0374,mons013,https://mowgarden.com/cay-trau-ba-lo-chau-gom-de-ban-monstera-adansonii-monkey-mask-mons013/,Cây Trầu Bà Lỗ chậu gốm để bàn Monstera adansonii Monkey Mask – MONS013,Monstera adansonii,Cây Trầu Bà Lỗ,350000,"Monstera adansonii là cây thân thảo, thích nghi với bóng râm hoàn toàn, vì vậy chúng thường được trồng trong nhà, sức sống mạnh mẽ, dễ dàng chăm sóc và có thể tồn tại trong nhiều môi trường khác nhau, gốc nhiều nhánh và đốt.
Với những chiếc lá xanh tươi, thân hình nhỏ nhắn trông rất dễ thương có thể sẽ rất phù hợp với các bạn nữ, nhân viên văn phòng trong lúc mệt mỏi có thể ngắm nhìn để giải tỏa phần nào áp lực công việc, cuộc sống.",,Vừa phải,Nắng tán xạ,"Ít nước, 2 – 3 lần/tuần",Cao 30 – 40 cm,,,,Tính axit,Có khả năng hấp thu chất độc hại,
